statut_commercialisation,specialite,dosage,forme,presentation,class_therapeutique,PPV
Commercialisé,MEGASFON,80   MG,COMPRIME ORODISPERSIBLE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"32,1"
Commercialisé,MOLGAM,100   MG,COMPRIME,BOITE DE 10,ANESTHESIE-REANIMATION,"10,5"
Commercialisé,MOLGAM,100   MG,COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,"18,6"
Commercialisé,MOLGAM,100   MG,COMPRIME,BOITE DE 30,ANESTHESIE-REANIMATION,"27,2"
Commercialisé,MOLGAM,200   MG,COMPRIME,BOITE DE 10,ANESTHESIE-REANIMATION,"20,6"
Commercialisé,MOLGAM,200   MG,COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,"37,4"
Commercialisé AO,MUCOSTEINE,"0,05",SIROP,FLACON DE 125 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"20,1"
Commercialisé AO,MUCOSTEINE,"0,05",SIROP,FLACON DE 250ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"34,7"
Commercialisé AO,MYCOPHARM,"100,000UI",COMPRIME VAGINAL,BOITE DE 12,GYNECOLOGIE-OBSTETRIQUE,"10,4"
Commercialisé AO,MYCOPHARM,100000 UI,SUSPENSION ORALE,FLACON DE 24 ML,STOMATOLOGIE,"18,2"
Commercialisé AO,MYCOPHARM,500000 UI,DRAGEE,BOITE DE 16,STOMATOLOGIE,"24,2"
Commercialisé AO,NATEAD,100 µG  /  2  ML,POUDRE POUR SOLUTION INJECTABLE,1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GYNECOLOGIE-OBSTETRIQUE,664
Commercialisé,NAUREUS,"0,5   MG  /   ML",SOLUTION BUVABLE,FLACON DE 60 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"23,4"
Commercialisé,NAUREUS,5   MG,COMPRIME PELLICULE,BOITE DE 15,PNEUMO-ALLERGO-PHTYSIOLOGIE,38
Commercialisé,NAUREUS,5   MG,COMPRIME PELLICULE,BOITE DE 30,PNEUMO-ALLERGO-PHTYSIOLOGIE,70
Commercialisé,NAUSELIUM,1   MG  /   ML,SUSPENSION BUVABLE,FLACON DE 200ML,GASTRO-ENTERO-HEPATOLOGIE,"22,9"
Commercialisé,NAUSELIUM,10   MG,COMPRIME PELLICULE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"22,8"
Commercialisé,NIDAZOL,250   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"19,8"
Commercialisé,NIDAZOL,500   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"37,3"
Commercialisé,NIDAZOL,500   MG,OVULE,BOITE DE 10,GYNECOLOGIE-OBSTETRIQUE,"25,9"
Commercialisé AO,NIFUROXAZIDE PHARMA,100   MG,GELULE,BOITE DE 16,GASTRO-ENTERO-HEPATOLOGIE,"10,7"
Commercialisé AO,NIFUROXAZIDE PHARMA,200   MG,GELULE,BOITE DE 16,GASTRO-ENTERO-HEPATOLOGIE,"12,1"
Retiré du Marché,NIFUROXAZIDE PHARMA,220   MG  /  5  ML,SUSPENSION BUVABLE,FLACON DE 90 ML,-,"17,7"
Commercialisé,NURABOL,2   MG  /  5  ML,SIROP,FLACON DE 125 ML,METABOLISME-DIABETE-NUTRITION,"9,1"
Commercialisé,NURABOL,4   MG  /  5  ML,SIROP,FLACON DE 125 ML,METABOLISME-DIABETE-NUTRITION,"11,3"
Commercialisé,NURABOL,4   MG,COMPRIME,BOITE DE 30,METABOLISME-DIABETE-NUTRITION,"14,2"
Commercialisé,NURAVIT,"0,08 G  /  0,012 G  /  0,012 G  /  0,1 G  /  0,015 G  /  0,4 G",SIROP,FLACON DE 125 ML,METABOLISME-DIABETE-NUTRITION,"19,6"
Commercialisé,NURAVIT,4   MG,COMPRIME PELLICULE,BOITE DE 15,METABOLISME-DIABETE-NUTRITION,"28,7"
Commercialisé,OMIZ,10   MG,GELULE,BOITE DE 14,GASTRO-ENTERO-HEPATOLOGIE,22
Commercialisé,OMIZ,10   MG,GELULE,BOITE DE 28,GASTRO-ENTERO-HEPATOLOGIE,"42,1"
Commercialisé,OMIZ,10   MG,GELULE,BOITE DE 7,GASTRO-ENTERO-HEPATOLOGIE,"11,6"
Commercialisé,OMIZ,20   MG,GELULE,BOITE DE 28,GASTRO-ENTERO-HEPATOLOGIE,"76,1"
Commercialisé,OMIZ,20   MG,GELULE,BOITE DE 7,GASTRO-ENTERO-HEPATOLOGIE,21
Commercialisé,OMIZ,20   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 14,GASTRO-ENTERO-HEPATOLOGIE,"39,2"
Commercialisé AO,OXYTOCINE PHARMA 5,5UI  /   ML,SOLUTION INJECTABLE,BOITE DE 3 AMPOULES,GYNECOLOGIE-OBSTETRIQUE,"16,1"
Non Commercialisé,PARODAL,500   MG,COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,"9,5"
Non Commercialisé,PARODAL,500   MG,COMPRIME,BOITE DE 30,ANESTHESIE-REANIMATION,"13,6"
Commercialisé,PENICILLINE G SODIQUE PHARMA 5,1 MUI,POUDRE POUR SOLUTION INJECTABLE,FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"7,1"
Commercialisé,PENICILLINE G SODIQUE PHARMA 5,5 MUI,POUDRE POUR SOLUTION INJECTABLE,FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"35,3"
Commercialisé AO,BUCOPEN,400000 UI,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"18,1"
Commercialisé,PENITARD,"0,6 MU I(IM)",POUDRE POUR SOLUTION INJECTABLE,FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"8,3"
Commercialisé,PENITARD,"1,2 MUI (IM)",POUDRE POUR SOLUTION INJECTABLE,FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,10
Commercialisé AO / Export,PERAP,2   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"52,9"
Commercialisé AO / Export,PERAP,4   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,92
Commercialisé AO / Export,PERAP,8   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"129,4"
Commercialisé,PEVAGINE,"0,01",CREME DERMIQUE,TUBE DE 30 G,DERMATOLOGIE-VENEROLOGIE,"29,5"
Commercialisé,PEVAGINE,150   MG,OVULE GYNECOLOGIQUE,BOITE DE 3,DERMATOLOGIE-VENEROLOGIE,"41,4"
Commercialisé,PIMLOR,10   MG,COMPRIME,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"33,6"
Commercialisé,PIMLOR,10   MG,COMPRIME,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"59,1"
Commercialisé,PIMLOR,10   MG,COMPRIME,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,104
Commercialisé,PIMLOR,5   MG,COMPRIME,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,25
Commercialisé,PIMLOR,5   MG,COMPRIME,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"48,3"
Commercialisé AO,PIZEDA,400   MG,COMPRIME,BOITE DE 50,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"62,6"
Non Commercialisé,PIZEDA,500   MG,COMPRIME,BOITE DE 50,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"72,9"
Non Commercialisé,ALFAMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"90,4"
Commercialisé,ALFAMOX,125   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 2 FLACONS DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"24,9"
Commercialisé AO / Export,ALFAMOX,250   MG,COMPRIME DISPERSIBLE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"45,7"
Commercialisé,ALFAMOX,250   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 2 FLACONS DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"37,7"
Commercialisé,ALFAMOX,500   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 2 FLACONS DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"54,4"
Non Commercialisé,ALFAMOX,500   MG,COMPRIME DISPERSIBLE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"56,9"
Non Commercialisé,ALFAMOX,1 G,COMPRIME,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"90,4"
Commercialisé AO,PERLO,10   MG,COMPRIME,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"113,9"
Commercialisé AO,PERLO,10   MG,COMPRIME,BOITE DE 84,CARDIOLOGIE-ANGEIOLOGIE,292
Commercialisé AO,PERLO,20   MG,COMPRIME,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"157,7"
Commercialisé AO,PERLO,20   MG,COMPRIME,BOITE DE 84,CARDIOLOGIE-ANGEIOLOGIE,405
Commercialisé AO,PERLO,40   MG,COMPRIME,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,292
Commercialisé AO,PERLO,40   MG,COMPRIME,BOITE DE 84,CARDIOLOGIE-ANGEIOLOGIE,754
Commercialisé EXPORT,PROQUIET,20   MG,GELULE,BOITE DE 14,NEUROLOGIE-PSYCHIATRIE,"52,3"
Commercialisé AO,PRUREX,"0,1",CREME,TUBE DE 40 G,DERMATOLOGIE-VENEROLOGIE,"13,4"
Commercialisé AO,PURINOL,100   MG,COMPRIME,BOITE DE 28,RHUMATOLOGIE,"13,9"
Commercialisé,QUINOLOX,200   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"94,4"
Commercialisé,QUINOLOX,200   MG,COMPRIME PELLICULE,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"139,2"
Commercialisé EXPORT,QUINOLOX MONOPRISE,200   MG,COMPRIME PELLICULE,BOITE DE 2,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"36,4"
Commercialisé AO,PRIRIL,"1,25   MG",COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"21,7"
Commercialisé AO,PRIRIL,10   MG,COMPRIME,BOITE DE 15,CARDIOLOGIE-ANGEIOLOGIE,"42,6"
Commercialisé,PRIRIL,10   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"76,1"
Commercialisé,PRIRIL,"2,5   MG",COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"36,9"
Commercialisé,PRIRIL,5   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"46,4"
Non Commercialisé,RHOPHYLAC,300 µG  /  2  ML,SOLUTION INJECTABLE EN SERINGUE PREREMPLIE,BOITE DE 1,GYNECOLOGIE-OBSTETRIQUE,683
Commercialisé Export,RIFAMPICINE PHARMA,"0,02",SUSPENSION SIRUPEUSE,FLACON DE 120 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"36,6"
Commercialisé AO,RIFAMPICINE PHARMA,150   MG,GELULE,BOITE DE 30,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"64,8"
Commercialisé AO,RIFAMPICINE PHARMA,300   MG,GELULE,BOITE DE 30,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"94,8"
Commercialisé AO,RIFOREIL,2000000 UI  /  100  ML,SOLUTION AURICULAIRE,FLACON DE 10ML,OTO-RHINO-LARYNGOLOGIE,19
Commercialisé AO,RINIAZIDE,150   MG  /  100   MG,GELULE,BOITE DE 100,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"161,1"
Commercialisé AO,RINIAZIDE,150   MG  /  75   MG,COMPRIME PELLICULE,BOITE DE 30,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"45,6"
Commercialisé AO,RINIAZIDE,300   MG  /  150   MG,GELULE,BOITE DE 100,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,283
Commercialisé,RINOMEX ADULTE,"0,025 G  /  0,500 G  /  0,200 G",SOLUTION BUVABLE,BOITE DE 8,OTO-RHINO-LARYNGOLOGIE,"19,6"
Commercialisé,RINOMEX ADULTE SANS SUCRE,"0,025 G  /  0,500 G  /  0,200 G",SOLUTION BUVABLE,BOITE DE 8,OTO-RHINO-LARYNGOLOGIE,"18,7"
Commercialisé,RINOMEX ENFANT,"0,010 G  /  0,280 G  /  0,100 G",SOLUTION BUVABLE,BOITE DE 8,OTO-RHINO-LARYNGOLOGIE,"17,7"
Commercialisé,RINOMICINE,400   MG  /  4   MG  /  200   MG  /  6   MG  /  30   MG  /  300   MG,SACHET,BOITE DE 10,OTO-RHINO-LARYNGOLOGIE,"21,3"
Commercialisé AO,RIP-K3,150   MG  /  75   MG  /  400   MG,COMPRIME,BOITE DE 30,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"88,8"
Commercialisé,RIVABIR,200   MG,GELULE,BOITE DE 84,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,906
Commercialisé AO,ROSUCAL,10   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"82,5"
Commercialisé,ROSUCAL,10   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"147,1"
Commercialisé AO,ROSUCAL,10   MG,COMPRIME PELLICULE,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,259
Commercialisé AO,ROSUCAL,20   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"122,1"
Commercialisé,ROSUCAL,20   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,237
Commercialisé AO,ROSUCAL,20   MG,COMPRIME PELLICULE,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,393
Commercialisé AO,ROSUCAL,5   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"59,6"
Commercialisé,ROSUCAL,5   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"106,5"
Commercialisé AO,ROSUCAL,5   MG,COMPRIME PELLICULE,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,203
Commercialisé AO,RUTEX,3500   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 10 SACHETS,CARDIOLOGIE-ANGEIOLOGIE,"57,1"
Commercialisé AO,RUTEX,3500   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 20 SACHETS,CARDIOLOGIE-ANGEIOLOGIE,"99,1"
Commercialisé AO,SALIDOL,135   MG  /  265   MG  /  40   MG,COMPRIME EFFERVESCENT,BOITE DE 10,ANESTHESIE-REANIMATION,"13,6"
Commercialisé AO,SALIDOL,135   MG  /  265   MG  /  40   MG,COMPRIME EFFERVESCENT,BOITE DE 20,ANESTHESIE-REANIMATION,"24,4"
Commercialisé AO,SEPRIM,200   MG,COMPRIME PELLICULE,BOITE DE 16,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"154,2"
Commercialisé AO,SEPRIM,200   MG,COMPRIME PELLICULE,BOITE DE 8,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"87,6"
Commercialisé AO,SEPTAZIDE,200   MG,GELULE,BOITE DE 16,GASTRO-ENTERO-HEPATOLOGIE,"12,6"
Commercialisé AO,SEPTAZIDE,200   MG,GELULE,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"35,3"
Commercialisé,SKINOSALIC,"0,05%  /  3%",POMMADE,TUBE DE 30 G,DERMATOLOGIE-VENEROLOGIE,"24,8"
Commercialisé,SKINOSALIC,"0,064 G  /  2 G",LOTION,FLACON 30G,DERMATOLOGIE-VENEROLOGIE,"32,4"
Commercialisé,SKINOSONE,"0,05 G",CREME,TUBE DE 15 G,DERMATOLOGIE-VENEROLOGIE,"13,4"
Commercialisé,SKINOSONE,"0,05 G",POMMADE,TUBE DE 15 G,DERMATOLOGIE-VENEROLOGIE,"15,7"
Commercialisé,SPASMOPAN,10   MG,DRAGEE,BOITE DE 40,GASTRO-ENTERO-HEPATOLOGIE,"18,7"
Commercialisé,SPASMOPAN,10   MG,SUPPOSITOIRE,BOITE DE 6,GASTRO-ENTERO-HEPATOLOGIE,"10,1"
Commercialisé,SPASMOPAN,20   MG  /  1  ML,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES,GASTRO-ENTERO-HEPATOLOGIE,"16,6"
Commercialisé,SSB,400   MG,COMPRIME PELLICULE,BOITE DE 28,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,3000
Non Commercialisé,STREPTOCID,1 G,COMPRIME,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"51,4"
Commercialisé,STREPTOCID,1 G,COMPRIME DISPERSIBLE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"51,4"
Commercialisé AO,STREPTOCID,1000   MG (IM),POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,BOITE D'UN FLACON DE POUDRE ET UNE AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"14,1"
Commercialisé,STREPTOCID,125   MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"14,3"
Commercialisé AO,STREPTOCID,2000   MG (IM),POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,BOITE D'UN FLACON,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"25,6"
Commercialisé AO / Export,STREPTOCID,250   MG,COMPRIME DISPERSIBLE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"30,5"
Commercialisé,STREPTOCID,250   MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"29,9"
Commercialisé,STREPTOCID,250   MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"22,4"
Commercialisé,STREPTOCID,500   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"31,3"
Commercialisé,STREPTOCID,500   MG,COMPRIME DISPERSIBLE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"32,3"
Commercialisé AO / Export,STREPTOCID,500   MG,GELULE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"32,3"
Commercialisé AO,STREPTOCID SANS SUCRE,125   MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"14,3"
Commercialisé AO,STREPTOCID SANS SUCRE,250   MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"29,9"
Commercialisé AO,STREPTOCID SANS SUCRE,250   MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"21,5"
Commercialisé AO,STREPTOCID SANS SUCRE,500   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,44
Commercialisé AO,STREPTOCID SANS SUCRE,500   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"30,4"
Commercialisé AO,STREPTOPHARMA,1 G,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1 FLACON DE 1 G,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"7,9"
Non Commercialisé,SUGAST,1 G,SACHET,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"76,1"
Non Commercialisé,SUGAST,500   MG,COMPRIME,BOITE DE 50,GASTRO-ENTERO-HEPATOLOGIE,"72,6"
Commercialisé,SULFOBACTIN,250   MG,COMPRIME,BOITE DE 16,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"25,7"
Commercialisé AO / Export,SULFOBACTIN,250   MG,COMPRIME,BOITE DE 40,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"53,3"
Commercialisé,SULFOBACTIN,500   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"51,9"
Commercialisé AO / Export,SULFOBACTIN,500   MG,COMPRIME,BOITE DE 50,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"114,3"
Commercialisé AO,SUPPOSEDAL ADULTE,40  /  40  /  20   MG,SUPPOSITOIRE,BOITE DE 12,ANESTHESIE-REANIMATION,"12,1"
Commercialisé AO / Export,SUPPOSEDAL ENFANT,20  /  20  /  10   MG,SUPPOSITOIRE,BOITE DE 12,ANESTHESIE-REANIMATION,"11,2"
Commercialisé,SUPPOSEDAL PARACETAMOL ADULTE,500   MG,SUPPOSITOIRE,BOITE DE 12,ANESTHESIE-REANIMATION,"22,4"
Commercialisé,SUPPOSEDAL PARACETAMOL ENFANT,250   MG,SUPPOSITOIRE,BOITE DE 12,ANESTHESIE-REANIMATION,"18,7"
Commercialisé,SUPPOSEDAL PARACETAMOL NOURRISSON,100   MG,SUPPOSITOIRE,BOITE DE 12,ANESTHESIE-REANIMATION,"15,9"
Commercialisé,TEFOVIR PHARMA5,300   MG,COMPRIME PELLICULE,BOITE DE 30,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,289
Commercialisé AO / Export,TEPHACYCLINE,500   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"37,7"
Commercialisé AO,THIOPENTAL,1 G,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 50 FL,ANESTHESIE-REANIMATION,1179
Commercialisé Export,TRIACEPHINE PHARMA5,1 G,POUDRE POUR SOLUTION INJECTABLE (IV),1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"106,8"
Commercialisé AO / Export,TRIACEPHINE PHARMA5,1 G,POUDRE POUR SOLUTION INJECTABLE IM,FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"106,8"
Commercialisé AO,TRIACEPHINE PHARMA5,250   MG,POUDRE POUR SOLUTION INJECTABLE (IV),1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"48,1"
Commercialisé Export,TRIACEPHINE PHARMA5,500   MG,POUDRE POUR SOLUTION INJECTABLE (IV),1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,57
Commercialisé AO / Export,TRIACEPHINE PHARMA5,2 G,POUDRE POUR SOLUTION INJECTABLE (IV),BOITE DED'UN FLACON DE POUDRE POUR SOLUTION POUR PERFUSION,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,252
Commercialisé,TRIMEDAT,0,GRANULE POUR SUSPENSION BUVABLE,"FLACON DE 152,5 G DE GRANULE",GASTRO-ENTERO-HEPATOLOGIE,"28,8"
Commercialisé AO,TRIMEDAT,100   MG,GELULE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"24,8"
Commercialisé,TRIMEDAT,150   MG,GELULE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"43,5"
Commercialisé EXPORT,TRIMEDAT,150   MG,GELULE,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"65,3"
Commercialisé,TRIMEDAT,150   MG,POUDRE POUR SUSPENSION BUVABLE EN SACHETS,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"42,9"
Commercialisé AO,TRIMEDAT,200   MG,GELULE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"34,7"
Commercialisé,TRIMEDAT SANS SUCRE,150   MG,GRANULE POUR SOLUTION BUVABLE EN SACHETS,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"42,9"
Commercialisé,TRIMOX,100   MG  /  20   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"11,4"
Commercialisé,TRIMOX,400   MG  /  80   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"20,1"
Commercialisé,TRIMOX FORT,800   MG  /  160   MG,COMPRIME,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"16,2"
Commercialisé,TRIMOX FORT,800   MG  /  160   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"27,7"
Commercialisé AO,ULCESTOP,200   MG,COMPRIME,BOITE DE 50,GASTRO-ENTERO-HEPATOLOGIE,"72,1"
Commercialisé,ULCESTOP,400   MG,COMPRIME,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"55,6"
Commercialisé,ULCESTOP,400   MG,COMPRIME,BOITE DE 60,GASTRO-ENTERO-HEPATOLOGIE,123
Non Commercialisé,ULCESTOP,400   MG,COMPRIME DISPERSIBLE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"61,9"
Commercialisé AO,ULCESTOP,800   MG,COMPRIME DISPERSIBLE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"109,6"
Commercialisé Export,VALPAKINE,200   MG  /   ML,SOLUTION BUVABLE,FLACON DE 40ML,NEUROLOGIE-PSYCHIATRIE,"41,3"
Commercialisé AO,VALPAKINE,"5,764 G  /  100  ML",SOLUTION BUVABLE,FLACON DE 150 ML,NEUROLOGIE-PSYCHIATRIE,"39,2"
Commercialisé AO / Export,VIRECTIL,100   MG,COMPRIME PELLICULE,BOITE DE 1,UROLOGIE-NEPHROLOGIE,"43,4"
Commercialisé AO / Export,VIRECTIL,100   MG,COMPRIME PELLICULE,BOITE DE 4,UROLOGIE-NEPHROLOGIE,144
Commercialisé,VIRECTIL,50   MG,COMPRIME PELLICULE,BOITE DE 1,UROLOGIE-NEPHROLOGIE,"25,2"
Commercialisé,VIRECTIL,50   MG,COMPRIME PELLICULE,BOITE DE 4,UROLOGIE-NEPHROLOGIE,"85,8"
